1,VKUUXF,ITHOMQJNYX,4608499546 Dell Way,,QSDPAGD,SD,24101,US,1,ITHOMQJNYX@dell.com,4608499546,1,1979279217775911,2019/03,user1,password,55,100000,M
2,HQNMZH,UNUKXHJVXB,5119315633 Dell Way,,YNCERXJ,AZ,11802,US,1,UNUKXHJVXB@dell.com,5119315633,1,3144519586581736,2019/11,user2,password,80,40000,M
3,JTNRNB,LYYSHTQJRE,6297761196 Dell Way,,LWVIFXJ,OH,96082,US,1,LYYSHTQJRE@dell.com,6297761196,4,8728086929768324,2017/12,user3,password,47,100000,M
4,XMFYXD,WQLQHUHLFE,9862764981 Dell Way,,HOKEXCD,MS,78442,US,1,WQLQHUHLFE@dell.com,9862764981,5,7160005148965865,2016/09,user4,password,44,40000,F
5,PGDTDU,ETBYBNEGUT,2841895775 Dell Way,,RZQTCDN,AZ,16291,US,1,ETBYBNEGUT@dell.com,2841895775,3,8377095518168062,2017/10,user5,password,21,20000,M
6,FXDZBW,BAXPEEKXVJ,6192740010 Dell Way,,OPLRCNT,IN,99300,US,1,BAXPEEKXVJ@dell.com,6192740010,5,7730283664073795,2018/01,user6,password,72,100000,M
7,WVZTXZ,RMEVXCQGQF,9743191382 Dell Way,,SIIGBQF,NV,55961,US,1,RMEVXCQGQF@dell.com,9743191382,2,5914961899630725,2018/02,user7,password,52,60000,M
8,LIWLAI,PVGRMMHSEQ,7576564107 Dell Way,,BKSRQJE,NJ,66444,US,1,PVGRMMHSEQ@dell.com,7576564107,2,7663945967331529,2016/12,user8,password,67,80000,F
9,NCGWRC,CJOPRHUHIE,7291678624 Dell Way,,ZAVIELY,VT,78838,US,1,CJOPRHUHIE@dell.com,7291678624,1,7172072122339159,2016/10,user9,password,86,100000,M
10,FUOHXX,WMOEHWMMWM,2603867587 Dell Way,,HERSDPM,TN,75182,US,1,WMOEHWMMWM@dell.com,2603867587,2,5486729339230805,2015/02,user10,password,44,40000,M
11,XQVVMI,KRPGDBCQJH,2415449050 Dell Way,,ICLYPGR,PA,53868,US,1,KRPGDBCQJH@dell.com,2415449050,5,6630987872369587,2017/03,user11,password,58,60000,M
12,KGISQZ,IXDKAUUHCW,1896033667 Dell Way,,SBLZSFM,UT,18452,US,1,IXDKAUUHCW@dell.com,1896033667,2,3715867913328111,2018/10,user12,password,27,20000,F
13,LURLDP,PNPJHXMEPN,3029418206 Dell Way,,QPGVBCY,DE,53356,US,1,PNPJHXMEPN@dell.com,3029418206,5,3617457962129265,2016/11,user13,password,43,100000,M
14,AGUQVI,FFPCRUSFKI,3748672054 Dell Way,,LGKNEOA,MA,44395,US,1,FFPCRUSFKI@dell.com,3748672054,4,3344003576319664,2018/07,user14,password,85,80000,M
15,SIQANV,QQNKJSURDA,3354132892 Dell Way,,BREQSOA,AK,37471,US,1,QQNKJSURDA@dell.com,3354132892,4,8717996907886118,2015/05,user15,password,66,100000,M
16,IXEENV,RXEKSWOTYG,6914808178 Dell Way,,YOYMOYU,SD,63504,US,1,RXEKSWOTYG@dell.com,6914808178,5,9422665674239396,2016/11,user16,password,61,80000,M
17,UUGPME,UWWRKPPQOD,1436497137 Dell Way,,PASNVNC,MO,55931,US,1,UWWRKPPQOD@dell.com,1436497137,5,4461925670970231,2018/06,user17,password,28,60000,F
18,KASOVP,LMZBBQPFFQ,4002123087 Dell Way,,YTMLWYY,VA,79031,US,1,LMZBBQPFFQ@dell.com,4002123087,3,2972224516794085,2017/12,user18,password,52,100000,M
19,ELUTXG,TZIKOOQEMJ,6334227072 Dell Way,,RXFPWCJ,GA,68186,US,1,TZIKOOQEMJ@dell.com,6334227072,4,6367064577993006,2015/07,user19,password,59,40000,F
20,IAYPUX,YELMUQZEHW,7467996902 Dell Way,,JXTMHYD,UT,66087,US,1,YELMUQZEHW@dell.com,7467996902,5,2656596019398421,2016/03,user20,password,32,80000,F
21,DFYAED,MQXCPBKMLH,9981729052 Dell Way,,GXOEALV,PA,42074,US,1,MQXCPBKMLH@dell.com,9981729052,1,5711935373954475,2016/08,user21,password,69,40000,M
